Titre,Departement,ExperienceRequirements,OffreUrl,Description
Développeur full stack - Django Python React (H/F),75 - PARIS 11,2 An(s),https://candidat.francetravail.fr/offres/recherche/detail/171XHTN,"La solution Ealico est utilisée par des grandes entreprises dans tous les secteurs de l'industrie en France. Solvay, Tereos, Dalkia, Sanofi, Orano, BASF, Bacardi, Constellium, Verallia... La demande est grandissante et nous devons accompagner de plus en plus de sites industriels dans leur transition en France.
Aujourd'hui, notre projet d'entreprise est encore plus ambitieux et nous avons décidé d'accélérer son développement.

Nous arrivons à une étape cruciale du développement produit. Le code est bien structuré, les fonctionnalités de base sont présentes et les tests automatisés en fonctionnement. Les améliorations à venir vont apporter une plus-value importante à tous nos utilisateurs. 

Pour assoir notre vision du produit, nous avons besoin d'étoffer l'équipe technique avec des personnes qui se projettent sur le long terme. Nous cherchons un développeur expérimenté fullstack et plutôt orienté back-end, connaissant parfaitement Python et Django et capable de prendre rapidement des responsabilités.

Les principales missions :

- Le développement de nouvelles fonctionnalités
- Les liaisons avec les outils internes (fait maison en Python Django également)
- Assurer les évolutions des solutions mises en place"
Développeur full stack - Django Python React (H/F),75 - PARIS 11,2 An(s),https://candidat.francetravail.fr/offres/recherche/detail/171XHPK,"La solution Ealico est utilisée par des grandes entreprises dans tous les secteurs de l'industrie en France. Solvay, Tereos, Dalkia, Sanofi, Orano, BASF, Bacardi, Constellium, Verallia... La demande est grandissante et nous devons accompagner de plus en plus de sites industriels dans leur transition en France.
Aujourd'hui, notre projet d'entreprise est encore plus ambitieux et nous avons décidé d'accélérer son développement.

Nous arrivons à une étape cruciale du développement produit. Le code est bien structuré, les fonctionnalités de base sont présentes et les tests automatisés en fonctionnement. Les améliorations à venir vont apporter une plus-value importante à tous nos utilisateurs. 

Pour assoir notre vision du produit, nous avons besoin d'étoffer l'équipe technique avec des personnes qui se projettent sur le long terme. Nous cherchons un développeur expérimenté fullstack et plutôt orienté back-end, connaissant parfaitement Python et Django et capable de prendre rapidement des responsabilités.

Les principales missions :

- Le développement de nouvelles fonctionnalités
- Les liaisons avec les outils internes (fait maison en Python Django également)
- Assurer les évolutions des solutions mises en place"
Développeur IA - Machine learning (H/F),75 - PARIS 11,Débutant accepté,https://candidat.francetravail.fr/offres/recherche/detail/171XHQK,"La solution Ealico est utilisée par des grandes entreprises dans tous les secteurs de l'industrie en France. Solvay, Tereos, Dalkia, Sanofi, Orano, BASF, Bacardi, Constellium, Verallia... La demande est grandissante et nous devons accompagner de plus en plus de sites industriels dans leur transition en France.
Aujourd'hui, notre projet d'entreprise est encore plus ambitieux et nous avons décidé d'accélérer son développement.

Nous proposons à nos clients une fonctionnalité capable d'extraire les données d'un rapport de contrôle pour les catégoriser et mettre à jour le compte client automatiquement. Pour y parvenir, nous avons un algorithme capable d'extraire les données d'un PDF et de les catégoriser correctement en fonction du type de rapport de contrôle.

Avec les nouvelles technologies d'IA qui se sont développées ces dernières années, nous pensons pouvoir refaire cet algorithme en partant de zéro pour obtenir de meilleurs résultats.

Aujourd'hui le process est digitalisé ce qui permet d'avoir de nombreuses données labélisées.

Principales missions :
- Choisir et mettre en place la stack technique spécifique à l'IA
- Développer et optimiser le modèle

La stack technique :
- Python3, Django (REST)
- React
- PostgreSQL
- RabbitMQ, Celery
- Gitlab, Docker"
Développeur front-end - React (H/F),75 - PARIS 11,Débutant accepté,https://candidat.francetravail.fr/offres/recherche/detail/171XHPT,"La solution Ealico est utilisée par des grandes entreprises dans tous les secteurs de l'industrie en France. Solvay, Tereos, Dalkia, Sanofi, Orano, BASF, Bacardi, Constellium, Verallia... La demande est grandissante et nous devons accompagner de plus en plus de sites industriels dans leur transition en France.
Aujourd'hui, notre projet d'entreprise est encore plus ambitieux et nous avons décidé d'accélérer son développement.

Nous arrivons à une étape cruciale du développement produit. Le code est bien structuré, les fonctionnalités de base sont présentes et les tests automatisés en fonctionnement. Les améliorations à venir vont apporter une plus-value importante à tous nos utilisateurs. 

Pour assoir notre vision du produit, nous avons besoin d'étoffer l'équipe technique avec des personnes qui se projettent sur le long terme. Nous cherchons un développeur expérimenté front-end, connaissant parfaitement React et capable de prendre rapidement des responsabilités. Une connaissance de Python et Django est un plus.

Les principales missions :
- Le développement de nouvelles fonctionnalités
- Le développement des tests d'interface avec Cypress

La stack technique :
- Python3, Django (REST)
- React
- PostgreSQL
- RabbitMQ, Celery
- Gitlab, Docker"
ML Ops Engineer (H/F),75 - PARIS 10,2 ans,https://candidat.francetravail.fr/offres/recherche/detail/171CSBM,"Au cœur de notre entreprise, vos principales missions seront d'apporter une contribution directe au CI/CD et configurer des ressources cloud pour publier, déployer, maintenir et exécuter nos modèles et bases de données ML. Vous serez également amené à fournir un support aux data scientists qui exécutent et développent nos modèles.

Responsabilités
- Concevoir des pipelines de données
- Prendre en charge l'Infrastructure afin de supporter les systèmes de ML
- Configurer le stack de production pour les systèmes de ML
- Déployer des outils et des services qui gèrent la formation et l'inférence du machine learning
- Très bonne compréhension d'un ou plusieurs frameworks d'orchestration de conteneurs
- Exposition à Google Cloud Tech (GCS, BQ, Dataflow, Pub/Sub, GKE, VertexAI/KF Pipeline, etc.)
- Appliquer les meilleures pratiques d'ingénierie logicielle au Machine Learning, y compris le CI/CD, l'automatisation, etc.
- Soutenir le développement de modèles, avec suivi des expériences, suivi des données, etc.
- Faciliter le développement et le déploiement de systèmes d'apprentissage automatique de preuve de concept
- Compréhension de MLOps, cycle de vie de développement de modèles avec connaissance de la formation et pipelines de déploiement pour les solutions de Machine Learning
- Maintenance des implémentations CI/CD déjà en place
- Maintenance de la base de données

Qualifications
- Expérience dans la création de systèmes de bout en bout en tant qu'ingénieur DevOps, ingénieur infrastructure, cloud ingénieur ou ingénieur MLOps
- Maîtriser Python
- À l'aise avec l'administration Linux
- Expérience avec le cloud computing et les systèmes de bases de données
- Expérience dans le déploiement de services dans Kubernetes
- Expérience de l'utilisation de Helm
- Expérience avec les outils MLOps tels que MLFlow, ZenML, 
- Compréhension des tests logiciels, de l'analyse comparative et de l'intégration continue
- Bon niveau de français et d'anglais"
Data Engineer R&D Team (H/F),75 - PARIS 10,1 an,https://candidat.francetravail.fr/offres/recherche/detail/171CNFX,"Nous recherchons un data engineer expérimenté pour rejoindre notre équipe R&D en pleine croissance. 
Responsabilités
- Création de data flows
- Travailler sur le versionnage des données
- Lancer des flux dans les outils d'orchestration
- Améliorer les pipelines CI/CD
- Gestion des dépendances (poetry)
- Déployer des scripts/modèles créés par des data scientists sur Notebooks

Qualifications
- 1 à 2 ans d'expérience
- Maîtrise de Python
- Expérience avec les systèmes distribués pour manipuler le Big Data (Dask, Spark)
- Une expérience avec les ML datasets est un plus
- Expérience en création de pipelines ETL
- Expérience de travail avec GCP (Google Cloud Platform) sur les principaux services de données (stockage cloud, big query, cloud build, GKE..)
- Expérience dans l'utilisation d'orchestrateurs (airflow, dagster )
- Environnement de travail (Linux, Jupyter, Python, Git, Docker, SQL, NoSQL,  )
- Expérience significative avec Pandas, les technologies SQL et l'écriture de Dockerfiles
- Bon niveau de français et d'anglais"
Ingénieur / Ingénieure télécoms,75 - PARIS 02,Débutant accepté,https://candidat.francetravail.fr/offres/recherche/detail/170XPFW,"Nous recherchons des Ingénieur(e)s Télécoms.Les missions proposées sont les suivantes : 
- Effectuer les tests en suivant les cahiers de charge, 
- Etre force de propositions sur l'optimisation et l'amélioration des plans de tests en fonction des spécifications clients, de l'évolution des technologies concernées et de l'historique des résultats, 
- Analyser, investiguer (avec ou sans outils de trace) et classer les anomalies rencontrées, 
- Gérer en interface avec le client les développeurs pour remonter les anomalies et suivre leur correction si besoin, 
- Etre le garant de la bonne qualité des rapports de test"
Senior Software Engineer (H/F),75 - Paris (Dept.),5 An(s),https://candidat.francetravail.fr/offres/recherche/detail/169XMLG,"Nous recherchons notre nouveau ou nouvel(le) Senior Software Engineer pour rejoindre notre équipe d'ingénieurs. L'équipe est déjà composée de 12 membres, répartis en 4 squads. Tu construiras une partie importante de notre plateforme, seras pionnier(e) dans un projet technique ambitieux et grandiras avec l'entreprise.
Tu seras en charge de tous les composants d'intégration, du back-end au front-end : 
- Tu concevras et mettras en œuvre des interfaces utilisateurs innovantes pour le contrôle de la plateforme.
- Tu rejoindras une équipe soudée et collaboreras efficacement à la résolution de problèmes complexes.
- Tu construiras une partie importante de notre plateforme, seras un pionnier dans un projet technique ambitieux et évolueras avec l'entreprise.

OBJECTIFS

Court terme (4 mois)

Tu as une bonne compréhension du produit.
Tu as une bonne compréhension de notre architecture et de notre infrastructure Tech.
Tu comprends et suis le processus de Wakeo pour le produit et les ingénieurs, de la découverte à la sortie de l'incrément.
Tu crées des liens avec ton équipe.
Tu déploies de nouveaux incréments, atteignant avec succès les objectifs du sprint.

À long terme

Tu as une bonne compréhension du produit.
Tu as une vision claire de notre architecture et de notre infrastructure Tech.
Tu lances de nouvelles fonctionnalités à un rythme rapide.
Tu participes à la découverte technique de nouvelles fonctionnalités.
Tu participes à la R&D pour apporter des solutions innovantes à Wakeo.

PROFIL
Tu es diplômé(e) d'une école d'ingénieur et as au moins 4 à 6 ans d'expérience professionnelle. Une expérience dans une entreprise internationale SaaS B2B est un plus.
Tu es familier(e) avec la méthodologie agile scrum.
Tu as un esprit d'ingénieur et de solides connaissances en développement. En particulier sur des frameworks tels que Ruby on Rails, TypeScript, Python, NodeJS, ReactJS et surtout NestJS.
Tu aides au référencement et à l'absorption de la dette technique, effectues de la R&D pendant tes journées de dev et de prez.
Tu as de bonnes capacités de communication en étant structuré(e) et persuasif(ve) et capable de prendre des décisions et de les argumenter.
Bonne gestion de projets ambigus et complexes.
Tu parles français et anglais.
Tous nos postes sont ouverts aux personnes en situation de handicap.

Processus de recrutement
Appel de 30 minutes avec notre Talent Acquisition Manager pour comprendre ton parcours et tes motivations.
Entretien de 1h30 en face à face (ou à distance) avec notre Engineering Manager pour approfondir le poste et tes compétences.
Une demi-journée d'immersion chez Wakeo (Paris ou Lyon) pour rencontrer l'équipe et poser toutes tes questions.
Prise de références auprès des contacts que tu nous fourniras.
Offre d'emploi."
DÉVELOPPEUR REACT / REACT DEVELOPER (F/*/M) (H/F),75 - PARIS 12,2 An(s),https://candidat.francetravail.fr/offres/recherche/detail/171YKNL,"Discngine recherche un développeur React.js pour participer à la conception de logiciels scientifiques. Le ou la candidat(e) rejoindront une équipe de R&D interne et/ou une équipe client de l'industrie des sciences de la vie. L'objectif de ces solutions est de faciliter le travail scientifique en fournissant rapidement des applications les plus intégrées et les plus robustes possibles.

Vos responsabilités incluront :

Participer à la conception et au développement d'applications robustes et évolutives en utilisant Node.js et React.js

Participer à des revues de code et contribuer aux choix stratégiques de développement

Participer à l'écriture des tests unitaires

Résoudre les problèmes, déboguer et optimiser les applications pour les performances et l'expérience utilisateur

Participer aux activités SCRUM/Kanban (raffinement, rétrospectives, stand-up, etc.)

Être disposé à se déplacer en Ile de France au moins 1 jour par semaine

Collaboration avec des équipe de R&D chez nos clients de l'industrie pharmaceutique/Cosmétique/Agrochimie

Collaborer avec des équipes interfonctionnelles (python, Oracle, DevOps k8s, .Net) pour définir et implémenter de nouvelles fonctionnalités.

Rester à jour sur les tendances et technologies de l'industrie pour proposer des solutions innovantes"
DEVELOPPEUR FULL STACK H/F - CDI (H/F),75 - PARIS 08,2 An(s),https://candidat.francetravail.fr/offres/recherche/detail/171WVYL,"La CRPCEN s'est engagée au travers de la Convention d'Objectif et de Gestion à moderniser son système d'information afin de répondre aux évolutions technologiques, aux attentes des usagers, aux objectifs de l'inter-régimes et afin d'être plus efficient en interne.

Vous avez pour mission la réalisation des développements et la conduite des projets SI depuis sa conception jusqu'à la réception dans le but d'obtenir un résultat optimal et conforme aux exigences formulées par le chef de projet MOA ou le client métier en ce qui concerne la qualité, les performances, le coût, le délai et la sécurité. 
En conséquence, vous assurez la réalisation du développement, la rédaction des documents techniques et la coordination de l'équipe technique pour mener à bien les travaux attendus.

Vous êtes responsable du contenu technique du projet :
- Endosser le rôle de référent technique sur les technologies que vous maitrisez,
- Participer au choix de la solution technique (progiciel, développement ) en relation avec la maitrise d'ouvrage et le responsable du secteur,
- Définir la conception technique et rédigez les spécifications techniques détaillées,
- Assurer la maintenance des produits développés,
- Définir les tests et participez aux recettes avant livraison à la maitrise d'ouvrage et aux métiers.

Vous assurez le déploiement technique du projet et la mise en œuvre des actions d'accompagnement des utilisateurs :
- Participer aux choix des méthodes de déploiements,
- Déployer la nouvelle application ou le nouveau service selon les processus du SI,
- Accompagner la maitrise d'ouvrage post livraison pour prendre en charge les retours des métiers. 

Vous êtes garant de la meilleure adéquation qualité coût délai :
- Garantir le respect du cahier des charges et des délais de réalisation,
- Proposer à la maîtrise d'ouvrage, en cours de projet au besoin, d'éventuelles modifications dans développement liées à des contraintes de réalisation ou des modifications d'environnement,
- Savoir adapter votre travail à un environnement complexe et multi-projets.

Vous contribuez activement à la démarche qualité et veillez à sa mise en œuvre :
- Respecter les procédures de l'organisme,
- Mettre en place tous les indicateurs nécessaires au suivi et à la gestion du projet, notamment sur l'évaluation de la performance, des coûts et des délais.

Vous contribuez activement aux respects des exigences de la Politique de Sécurité du Système d'Information :
- Mettre en œuvre la politique de sécurité de l'information de l'organisme,
- Garantir l'analyse et la gestion des risques en matière de sécurité des données et de l'information

Compétences : 
Formation de niveau BTS/DUT ou école d'ingénieur (bac +5) avec une expérience confirmée d'au moins 2 ans en entreprise.
La connaissance de l'environnement de la Sécurité sociale serait un plus.

Compétences techniques :
- Connaissance des principaux langages : Java/J2EE, PHP, Python
- Connaissance des différents Framework front et back-end (Angular, Node.js),
- Bonnes notions de l'environnement Linux,
- Connaissance des bases de données (Oracle, SQL Server ou Postgres sql),
- Connaissance du SCALA ou Salesforce est un plus,
- Maitrise des outils de gestion des sources (GIT, GITLAB),
- Bonne connaissance et/ou maitrise des outils de CI/CD (Jenkins),
- Conception, modélisation et architecture d'applications,
- Bonnes notions de la gestion de projets informatiques

Informations complémentaires
- Niveau VI de la classification des informaticiens des organismes de sécurité sociale
- Forfait-jour
- Entre 48 000 et 52 000 euros bruts annuels sur 14 mois, selon profil (y compris forfait-jour)
- Lieu de travail : 5 Bis rue de Madrid - 75008 PARIS
- Le candidat retenu devra se conformer aux exigences de la Politique de Sécurité des Systèmes d'Informations de la CRPCEN
- L'embauche du candidat retenu sera conditionnée au contrôle du CV"
